run,model,accuracy,precision,recall,f1,loss,epochs,batch_size,lr,dropout,weight_decay,max_len
2026-05-03_16-15,BiLSTM,0.925,1.0,0.85,0.918918918918919,0.2701726019382476,8,32,0.0005,0.5,1e-05,80
2026-05-03_16-15,MLP,0.9,0.9444444444444444,0.85,0.8947368421052632,0.408574092388153,8,32,0.0005,0.5,1e-05,80
2026-05-03_16-15,CNN,0.875,0.9411764705882352,0.8,0.8648648648648649,0.3250077307224274,8,32,0.0005,0.5,1e-05,80
2026-05-02_21-08,MLP,0.8563685636856369,0.8641304347826086,0.8502673796791443,0.8571428571428571,0.3050310165497669,8,32,0.0005,0.6,1e-05,80
2026-05-02_21-40,MLP,0.8563685636856369,0.8641304347826086,0.8502673796791443,0.8571428571428571,0.3113413287533654,8,32,0.0005,0.3,1e-05,80
2026-05-02_21-53,MLP,0.8563685636856369,0.8941176470588236,0.8128342245989305,0.8515406162464986,0.319675018632315,8,32,0.0005,0.6,1e-05,80
2026-05-02_21-34,MLP,0.8536585365853658,0.893491124260355,0.8074866310160428,0.848314606741573,0.3217926351277809,8,32,0.0005,0.5,1e-05,80
2026-05-02_20-37,MLP,0.8536585365853658,0.8982035928143712,0.8021390374331551,0.847457627118644,0.3101353018587521,5,32,0.001,0.5,1e-05,80
2026-05-02_20-37,CNN,0.8455284552845529,0.8494623655913979,0.8449197860962567,0.8471849865951743,0.3251503020686508,5,32,0.001,0.5,1e-05,80
2026-05-02_20-37,Attention,0.8455284552845529,0.8611111111111112,0.8288770053475936,0.8446866485013624,0.3548983557195198,5,32,0.001,0.5,1e-05,80
2026-05-02_21-08,BiLSTM,0.8373983739837398,0.8359788359788359,0.8449197860962567,0.8404255319148937,0.3533771178586696,8,32,0.0005,0.6,1e-05,80
2026-05-02_21-40,CNN,0.8455284552845529,0.8823529411764706,0.8021390374331551,0.8403361344537815,0.3490895309906988,8,32,0.0005,0.3,1e-05,80
2026-05-02_21-08,CNN,0.8401084010840109,0.8516483516483516,0.8288770053475936,0.8401084010840109,0.322361769957271,8,32,0.0005,0.6,1e-05,80
2026-05-02_21-53,Attention,0.8401084010840109,0.8516483516483516,0.8288770053475936,0.8401084010840109,0.3951507133197009,8,32,0.0005,0.6,1e-05,80
2026-05-02_21-53,BiLSTM,0.8401084010840109,0.8555555555555555,0.8235294117647058,0.8392370572207084,0.3504540938025891,8,32,0.0005,0.6,1e-05,80
2026-05-02_21-34,BiLSTM,0.8401084010840109,0.867816091954023,0.8074866310160428,0.8365650969529086,0.3613219245016413,8,32,0.0005,0.5,1e-05,80
2026-05-02_21-34,CNN,0.8401084010840109,0.8855421686746988,0.786096256684492,0.8328611898016998,0.3532210450144964,8,32,0.0005,0.5,1e-05,80
2026-05-02_21-40,BiLSTM,0.8265582655826558,0.8186528497409327,0.8449197860962567,0.8315789473684211,0.3556363469539942,8,32,0.0005,0.3,1e-05,80
2026-05-02_21-08,Attention,0.8319783197831978,0.8453038674033149,0.8181818181818182,0.8315217391304348,0.4031511483799797,8,32,0.0005,0.6,1e-05,80
2026-05-02_21-53,CNN,0.8373983739837398,0.8757396449704142,0.7914438502673797,0.8314606741573034,0.3391258270759892,8,32,0.0005,0.6,1e-05,80
2026-05-02_21-34,Attention,0.8292682926829268,0.8604651162790697,0.7914438502673797,0.8245125348189415,0.3920682496656247,8,32,0.0005,0.5,1e-05,80
2026-05-02_21-40,Attention,0.8211382113821138,0.8457142857142858,0.7914438502673797,0.8176795580110497,0.3882478160990609,8,32,0.0005,0.3,1e-05,80
2026-05-02_20-37,BiLSTM,0.8130081300813008,0.8641975308641975,0.7486631016042781,0.8022922636103151,0.398549935601268,5,32,0.001,0.5,1e-05,80
2026-05-03_16-15,Attention,0.725,0.8,0.6,0.6857142857142857,0.5729631781578064,8,32,0.0005,0.5,1e-05,80
